RowNumber,LongestStretch,Genotype
516,17,ColT1EVD95
628,17,ColT1EVD95
102,17,ColT1EVD95
533,17,ColT1EVD95
180,17,ColT1EVD95
553,17,ColT1EVD95
374,17,ColT1EVD95
397,17,ColT1EVD95
441,17,ColT1EVD95
300,17,ColT1EVD95
363,17,ColT1EVD95
206,17,ColT1EVD95
277,18,ColT1EVD95
490,18,ColT1EVD95
489,18,ColT1EVD95
546,18,ColT1EVD95
460,18,ColT1EVD95
544,18,ColT1EVD95
335,18,ColT1EVD95
2,18,ColT1EVD95
715,18,ColT1EVD95
297,18,ColT1EVD95
137,18,ColT1EVD95
691,18,ColT1EVD95
330,18,ColT1EVD95
140,18,ColT1EVD95
62,18,ColT1EVD95
144,18,ColT1EVD95
312,18,ColT1EVD95
310,18,ColT1EVD95
189,18,ColT1EVD95
346,18,ColT1EVD95
384,18,ColT1EVD95
156,18,ColT1EVD95
429,19,ColT1EVD95
14,19,ColT1EVD95
217,19,ColT1EVD95
412,19,ColT1EVD95
407,19,ColT1EVD95
458,19,ColT1EVD95
718,20,ColT1EVD95
252,20,ColT1EVD95
85,20,ColT1EVD95
548,20,ColT1EVD95
298,20,ColT1EVD95
484,20,ColT1EVD95
479,20,ColT1EVD95
309,20,ColT1EVD95
641,20,ColT1EVD95
276,21,ColT1EVD95
67,21,ColT1EVD95
632,21,ColT1EVD95
435,21,ColT1EVD95
295,21,ColT1EVD95
713,21,ColT1EVD95
496,21,ColT1EVD95
207,21,ColT1EVD95
531,21,ColT1EVD95
288,21,ColT1EVD95
348,21,ColT1EVD95
4,21,ColT1EVD95
579,21,ColT1EVD95
124,21,ColT1EVD95
177,21,ColT1EVD95
550,21,ColT1EVD95
18,22,ColT1EVD95
368,22,ColT1EVD95
306,22,ColT1EVD95
658,22,ColT1EVD95
385,22,ColT1EVD95
501,22,ColT1EVD95
250,22,ColT1EVD95
294,22,ColT1EVD95
215,22,ColT1EVD95
214,22,ColT1EVD95
611,22,ColT1EVD95
107,22,ColT1EVD95
549,22,ColT1EVD95
274,22,ColT1EVD95
517,22,ColT1EVD95
179,23,ColT1EVD95
127,23,ColT1EVD95
183,23,ColT1EVD95
570,23,ColT1EVD95
273,23,ColT1EVD95
439,23,ColT1EVD95
293,23,ColT1EVD95
120,23,ColT1EVD95
393,23,ColT1EVD95
528,24,ColT1EVD95
442,24,ColT1EVD95
684,24,ColT1EVD95
248,24,ColT1EVD95
637,24,ColT1EVD95
138,24,ColT1EVD95
414,25,ColT1EVD95
296,25,ColT1EVD95
32,25,ColT1EVD95
383,25,ColT1EVD95
577,25,ColT1EVD95
529,25,ColT1EVD95
329,26,ColT1EVD95
292,26,ColT1EVD95
515,26,ColT1EVD95
204,26,ColT1EVD95
34,26,ColT1EVD95
569,26,ColT1EVD95
157,26,ColT1EVD95
196,26,ColT1EVD95
211,27,ColT1EVD95
141,27,ColT1EVD95
422,27,ColT1EVD95
394,28,ColT1EVD95
150,28,ColT1EVD95
6,28,ColT1EVD95
128,28,ColT1EVD95
461,28,ColT1EVD95
500,29,ColT1EVD95
267,30,ColT1EVD95
347,30,ColT1EVD95
41,30,ColT1EVD95
96,30,ColT1EVD95
258,30,ColT1EVD95
299,30,ColT1EVD95
505,31,ColT1EVD95
93,31,ColT1EVD95
450,31,ColT1EVD95
714,31,ColT1EVD95
38,31,ColT1EVD95
192,31,ColT1EVD95
351,31,ColT1EVD95
443,32,ColT1EVD95
445,32,ColT1EVD95
497,32,ColT1EVD95
302,33,ColT1EVD95
24,34,ColT1EVD95
625,35,ColT1EVD95
415,35,ColT1EVD95
395,37,ColT1EVD95
114,37,ColT1EVD95
7,38,ColT1EVD95
345,38,ColT1EVD95
33,38,ColT1EVD95
69,38,ColT1EVD95
326,39,ColT1EVD95
113,39,ColT1EVD95
122,39,ColT1EVD95
139,41,ColT1EVD95
15,41,ColT1EVD95
269,41,ColT1EVD95
129,42,ColT1EVD95
205,42,ColT1EVD95
145,43,ColT1EVD95
440,43,ColT1EVD95
47,44,ColT1EVD95
428,44,ColT1EVD95
289,47,ColT1EVD95
447,47,ColT1EVD95
16,47,ColT1EVD95
444,47,ColT1EVD95
