stretch,Genotype
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
4,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
5,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
6,Col T1 EVD 95
